"BUFFER_GETS","CPU_UTILIZE"
594757228,38
549076714,36
573609119,38
603672872,40
594401018,40
588089213,40
565423380,39
511941213,33
437458619,28
403674733,26
689865182,41
577172468,38
624150598,40
579131880,38
598650872,41
649461781,47
693093015,44
502960497,33
520742865,30
382230983,23
513231806,36
560482321,39
628100770,45
570428666,40
616572955,45
660668688,46
675868078,47
589996196,42
449406460,28
394194346,24
557418009,35
618382622,39
602633400,382
622773457,40
730973475,49
717618018,47
691202453,45
550430451,35
453547690,29
403760783,24
615555118,39
645442862,42
570239102,36
574132515,37
627627073,39
648615091,40
581588920,36
457054273,28
461691963,27
413852137,25
585834111,37
657718227,424
584587008,38
607174349,39
656664089,43
655004632,43
642161978,44
551661782,35
451992011,29
444940216,27
598432938,37
635999467,41
607591757,39
651594332,43
737503390,52
667812485,44
676640272,44
582804375,37
501015621,30
483542480,29
635867892,39
647912024,42
699715855,45
659406738,44
733507175,47
739201971,49
793238779,54
627209301,41
461687145,29
421527174,27
634545777,42
623216095,39
636655877,41
675253777,43
771130549,50
775456416,54
801199460,60
587179704,373
474401728,30
412059774,26
616769644,41
599656117,40
581833325,40
591455111,40
644045826,43
596121946,39
543354343,35
454212806,29
397500332,25
370257308,22
607722200,37
638121402,40
647218179,43
687957657,44
684686676,44
692450602,44
784726582,49
610820034,38
467361103,29
442061261,27
682861048,42
703239453,45
609094546,39
708021709,45
774504530,50
800026838,53
745435226,48
581035832,37
468528952,29
496859784,29
599353809,37
705100645,47
660922584,45
692538040,44
758097302,49
749026648,48
673754716,44
656320564,46
496525024,32
478134139,29
651147769,40
711104502,45
768701379,54
718040675,46
694111851,45
721733168,47
656640335,42
555992324,35
458359625,28
431693251,25
795866736,52
641045431,42
591451755,40
706833189,43
643787076,41
611389124,40
573602546,36
543769081,33
550364778,31
400308111,25
880774576,67
744509368,64
757870898,63
736027803,63
771596163,65
737196729,64
704656955,63
645615796,57
707059748,592
571756276,53
698518413,42
705103924,45
678804975,44
729896894,47
779565128,51
754573291,50
702807262,46
551997931,36
550720534,33
427598864,26
784495122,65
712338794,66
670197641,613
674089204,60
656226193,60
